date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:53	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/informativo	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/informativo.html	(from )
09:30:54	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/robots.txt		(from )
09:30:54	1145/1145	---M--	200	added ('OK')	image/png	etag:W/%22479-19c9d27bc68%22	https://irpf-soluciona.org/favicon.png	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/favicon.png	(from https://irpf-soluciona.org/informativo)
09:30:55	361739/361739	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2004%20Mar%202026%2012:30:54%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/amostra/connect.facebook.net/en_US/fbevents.js	(from https://irpf-soluciona.org/informativo)
09:30:56	475623/475623	---M--	200	added ('OK')	application/javascript	etag:W/%22741e7-19c9d27bc68%22	https://irpf-soluciona.org/assets/index-B_x-pQyG.js	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/assets/index-B_x-pQyG.js	(from https://irpf-soluciona.org/informativo)
09:30:57	81364/81364	---M--	200	added ('OK')	text/css	etag:W/%2213dd4-19c9d27bc68%22	https://irpf-soluciona.org/assets/index-iOu2c8vk.css	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/assets/index-iOu2c8vk.css	(from https://irpf-soluciona.org/informativo)
09:30:57	375914/375914	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2004%20Mar%202026%2011:39:11%20GMT	https://sdks.shopifycdn.com/buy-button/latest/buy-button-storefront.min.js	C:/My%20Web%20Sites/amostra/sdks.shopifycdn.com/buy-button/latest/buy-button-storefront.min.js	(from https://irpf-soluciona.org/informativo)
09:30:58	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/t	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/t.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:30:58	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/signals/config/	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:30:59	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/e	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/e.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:30:59	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/t.resolvedLink	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/t-2.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:31:00	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/signals/plugins/	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/signals/plugins/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:31:00	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/schema.org/	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:31:00	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:31:01	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/o	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/o.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:31:01	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/signals/iwl.js	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/signals/iwl.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:31:02	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/signals/iwl.js?pixel_id=	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/signals/iwl0fc5.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:31:03	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/n.dl	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/n.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:31:04	3459/3459	---M--	200	added ('OK')	text/html	etag:W/%22d83-19c9d27bc68%22	https://irpf-soluciona.org/n.rl	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/n-2.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:31:05	56492/56492	---M--	200	added ('OK')	font/woff2	etag:W/%22dcac-19c9d2708b8%22	https://irpf-soluciona.org/attached_assets/TikTokFont-Regular_1771528958262.woff2	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/attached_assets/TikTokFont-Regular_1771528958262.woff2	(from https://irpf-soluciona.org/assets/index-iOu2c8vk.css)
09:31:05	56968/56968	---M--	200	added ('OK')	font/woff2	etag:W/%22de88-19c9d2708b8%22	https://irpf-soluciona.org/attached_assets/TikTokFont-Semibold_1771528958261.woff2	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/attached_assets/TikTokFont-Semibold_1771528958261.woff2	(from https://irpf-soluciona.org/assets/index-iOu2c8vk.css)
09:31:06	58172/58172	---M--	200	added ('OK')	font/woff2	etag:W/%22e33c-19c9d2708b8%22	https://irpf-soluciona.org/attached_assets/TikTokFont-Bold_1771528958262.woff2	C:/My%20Web%20Sites/amostra/irpf-soluciona.org/attached_assets/TikTokFont-Bold_1771528958262.woff2	(from https://irpf-soluciona.org/assets/index-iOu2c8vk.css)
